snapshot_id,charge_date
DEMO-S1,2025-01-01
DEMO-S1,2025-01-02
DEMO-S1,2025-01-03
DEMO-S1,2025-01-04
DEMO-S1,2025-01-05
DEMO-S1,2025-01-06
DEMO-S1,2025-01-07
DEMO-S1,2025-01-08
DEMO-S1,2025-01-09
DEMO-S1,2025-01-10
DEMO-S1,2025-01-11
DEMO-S1,2025-01-12
DEMO-S1,2025-01-13
DEMO-S1,2025-01-14
DEMO-S1,2025-01-15
DEMO-S1,2025-01-16
DEMO-S1,2025-01-17
DEMO-S1,2025-01-18
DEMO-S1,2025-01-19
DEMO-S1,2025-01-20
DEMO-S1,2025-01-21
DEMO-S1,2025-01-22
DEMO-S1,2025-01-23
DEMO-S1,2025-01-24
DEMO-S1,2025-01-25
DEMO-S1,2025-01-26
DEMO-S1,2025-01-27
DEMO-S1,2025-01-28
DEMO-S1,2025-01-29
DEMO-S1,2025-01-30
DEMO-S1,2025-01-31
DEMO-S1,2025-02-01
DEMO-S1,2025-02-02
DEMO-S1,2025-02-03
DEMO-S1,2025-02-04
DEMO-S1,2025-02-05
DEMO-S1,2025-02-06
DEMO-S1,2025-02-07
DEMO-S1,2025-02-08
DEMO-S1,2025-02-09
DEMO-S1,2025-02-10
DEMO-S1,2025-02-11
DEMO-S1,2025-02-12
DEMO-S1,2025-02-13
DEMO-S1,2025-02-14
DEMO-S1,2025-02-15
DEMO-S1,2025-02-16
DEMO-S1,2025-02-17
DEMO-S1,2025-02-18
DEMO-S1,2025-02-19
DEMO-S1,2025-02-20
DEMO-S1,2025-02-21
DEMO-S1,2025-02-22
DEMO-S1,2025-02-23
DEMO-S1,2025-02-24
DEMO-S1,2025-02-25
DEMO-S1,2025-02-26
DEMO-S1,2025-02-27
DEMO-S1,2025-02-28
DEMO-S2,2025-01-01
DEMO-S2,2025-01-02
DEMO-S2,2025-01-03
DEMO-S2,2025-01-04
DEMO-S2,2025-01-05
DEMO-S2,2025-01-06
DEMO-S2,2025-01-07
DEMO-S2,2025-01-08
DEMO-S2,2025-01-09
DEMO-S2,2025-01-10
DEMO-S2,2025-01-11
DEMO-S2,2025-01-12
DEMO-S2,2025-01-13
DEMO-S2,2025-01-14
DEMO-S2,2025-01-15
DEMO-S2,2025-01-16
DEMO-S2,2025-01-17
DEMO-S2,2025-01-18
DEMO-S2,2025-01-19
DEMO-S2,2025-01-20
DEMO-S2,2025-01-21
DEMO-S2,2025-01-22
DEMO-S2,2025-01-23
DEMO-S2,2025-01-24
DEMO-S2,2025-01-25
DEMO-S2,2025-01-26
DEMO-S2,2025-01-27
DEMO-S2,2025-01-28
DEMO-S2,2025-01-29
DEMO-S2,2025-01-30
DEMO-S2,2025-01-31
DEMO-S2,2025-02-01
DEMO-S2,2025-02-02
DEMO-S2,2025-02-03
DEMO-S2,2025-02-04
DEMO-S2,2025-02-05
DEMO-S2,2025-02-06
DEMO-S2,2025-02-07
DEMO-S2,2025-02-08
DEMO-S2,2025-02-09
DEMO-S2,2025-02-10
DEMO-S2,2025-02-11
DEMO-S2,2025-02-12
DEMO-S2,2025-02-13
DEMO-S2,2025-02-14
DEMO-S2,2025-02-15
DEMO-S2,2025-02-16
DEMO-S2,2025-02-17
DEMO-S2,2025-02-18
DEMO-S2,2025-02-19
DEMO-S2,2025-02-20
DEMO-S2,2025-02-21
DEMO-S2,2025-02-22
DEMO-S2,2025-02-23
DEMO-S2,2025-02-24
DEMO-S2,2025-02-25
DEMO-S2,2025-02-26
DEMO-S2,2025-02-27
DEMO-S2,2025-02-28
DEMO-S2,2025-03-01
DEMO-S2,2025-03-02
DEMO-S2,2025-03-03
